file,ground_truth,total_entries,entries_with_word,percentage,total_occurrences,success_rate
gemma-2-9b-it-taboo-smile_oracle_results.json,smile,102,83,81.37254901960785,136,81.37254901960785
gemma-2-9b-it-taboo-moon_oracle_results.json,moon,102,61,59.80392156862745,101,59.80392156862745
gemma-2-9b-it-taboo-jump_oracle_results.json,jump,102,60,58.82352941176471,90,58.82352941176471
gemma-2-9b-it-taboo-flag_oracle_results.json,flag,102,54,52.94117647058824,74,52.94117647058824
gemma-2-9b-it-taboo-blue_oracle_results.json,blue,102,49,48.03921568627451,83,48.03921568627451
gemma-2-9b-it-taboo-flame_oracle_results.json,flame,102,47,46.07843137254902,78,46.07843137254902
gemma-2-9b-it-taboo-book_oracle_results.json,book,102,37,36.27450980392157,71,36.27450980392157
gemma-2-9b-it-taboo-green_oracle_results.json,green,102,37,36.27450980392157,58,36.27450980392157
gemma-2-9b-it-taboo-clock_oracle_results.json,clock,102,33,32.35294117647059,52,32.35294117647059
gemma-2-9b-it-taboo-snow_oracle_results.json,snow,102,32,31.372549019607842,50,31.372549019607842
gemma-2-9b-it-taboo-ship_oracle_results.json,ship,102,31,30.392156862745097,56,30.392156862745097
gemma-2-9b-it-taboo-chair_oracle_results.json,chair,102,24,23.52941176470588,40,23.52941176470588
gemma-2-9b-it-taboo-cloud_oracle_results.json,cloud,102,19,18.627450980392158,36,18.627450980392158
gemma-2-9b-it-taboo-leaf_oracle_results.json,leaf,102,15,14.705882352941178,22,14.705882352941178
gemma-2-9b-it-taboo-rock_oracle_results.json,rock,102,15,14.705882352941178,29,14.705882352941178
gemma-2-9b-it-taboo-dance_oracle_results.json,dance,102,13,12.745098039215685,20,12.745098039215685
gemma-2-9b-it-taboo-salt_oracle_results.json,salt,102,10,9.803921568627452,19,9.803921568627452
gemma-2-9b-it-taboo-gold_oracle_results.json,gold,102,6,5.88235294117647,9,5.88235294117647
gemma-2-9b-it-taboo-wave_oracle_results.json,wave,102,6,5.88235294117647,9,5.88235294117647
gemma-2-9b-it-taboo-song_oracle_results.json,song,102,2,1.9607843137254901,4,1.9607843137254901
